Sample	featurecounts-Assigned	featurecounts-percent_assigned	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
highN4C3	0.515703	25.019284676759707	5.7197460848369195	39.2242642350564	46.0	60.08181995481332	84	27.27272727272727	2.0612269999999997
highN4C4	0.724997	30.497040723182472	5.86249108387292	39.46352833261727	47.0	61.28205354709095	84	27.27272727272727	2.377272
highN4C5	0.58865	27.668872248447812	5.7897774997130895	37.35271239018483	47.0	61.43839577641947	84	27.27272727272727	2.127484
highN4C6	0.549746	31.5743647030782	5.677391927336582	41.04791859530307	47.0	60.51283085838672	84	27.27272727272727	1.741115
highN4C7	0.5444129999999999	24.283413317109094	5.766892369791861	38.103237474131035	46.0	60.993539686313376	84	27.27272727272727	2.2419189999999998
highN4C8	0.6681549999999999	31.069491164454334	5.722929404908522	39.446647866401165	47.0	60.99622579830655	84	27.27272727272727	2.150521
highN4D1	0.730389	30.190183661094377	5.780279643190735	38.485203736388804	47.0	61.81516743514123	84	27.27272727272727	2.419295
highN4D2	0.549667	22.520838249947555	5.82403253064648	35.16074036804069	46.0	62.77064136360545	84	27.27272727272727	2.440706
highN4D3	0.7447229999999999	30.62926450084519	5.734265838640399	41.27400215132604	47.0	61.35502944586497	84	36.36363636363637	2.4314109999999998
highN4D4	0.5584239999999999	26.122141961003713	5.916632103412263	35.61081027930864	46.0	62.595021712151556	84	27.27272727272727	2.137743
highN4D5	0.5534	25.503726244643133	5.805741762667392	35.79219487432715	47.0	62.4448596998087	84	27.27272727272727	2.169883
highN4D6	0.505849	22.96845571395101	5.717383684518498	35.68279815129125	46.0	62.380658400711596	84	27.27272727272727	2.2023669999999997
